,world,sentence,label,label,label
model,,,bert,distilbert,roberta
0,from,0,O,O,O
1,in,0,O,O,O
2,a,0,O,O,O
3,movie,0,O,O,O
4,want,0,O,O,O
5,I,0,O,O,O
6,Nolan,0,O,B-TITLE,I-ACTOR
7,2015,0,B-YEAR,B-YEAR,B-YEAR
8,Christopher,0,O,B-TITLE,B-ACTOR
9,of,1,O,O,O
10,serials,1,B-GENRE,B-GENRE,O
11,America,1,O,O,O
12,Show,1,O,O,O
13,90s,1,B-YEAR,B-YEAR,B-YEAR
14,me,1,O,O,O
15,the,1,O,O,O
16,best,1,B-REVIEW,B-REVIEW,B-REVIEW
17,movies,2,O,O,O
18,in,2,O,O,O
19,history,2,B-GENRE,B-GENRE,B-GENRE
20,golden,2,O,B-TITLE,O
21,winning,2,O,I-RATINGS_AVERAGE,O
22,dram,2,B-ACTOR,B-DIRECTOR,O
23,The,2,O,O,O
24,globe,2,I-TITLE,I-TITLE,I-DIRECTOR
25,friends,3,B-TITLE,I-TITLE,I-TITLE
26,7,3,I-TITLE,I-TITLE,I-TITLE
27,serial,3,I-TITLE,I-TITLE,B-TITLE
28,season,3,O,I-TITLE,I-TITLE
29,of,3,I-TITLE,I-TITLE,I-TITLE
30,2,3,I-TITLE,I-TITLE,I-TITLE
31,Episode,3,O,I-TITLE,O
32,movies,4,O,O,O
33,of,4,O,O,O
34,Vin,4,O,O,O
35,Best,4,O,O,O
36,action,4,B-GENRE,B-GENRE,B-GENRE
37,new,4,O,O,O
38,Diesel,4,I-TITLE,O,I-ACTOR
